1,1,1718,0.20,50
15,1,1442,0.20,50
30,1,1603,0.20,50
1,1,1686,0.20,100
15,1,1448,0.20,100
30,1,1641,0.20,100
1,1,1706,0.20,150
15,1,1451,0.20,150
30,1,1596,0.20,150
1,1,1719,0.20,200
15,1,1445,0.20,200
30,1,1661,0.20,200
1,1,1752,0.40,50
15,1,1477,0.40,50
30,1,1625,0.40,50
1,1,1744,0.40,100
15,1,1510,0.40,100
30,1,1632,0.40,100
1,1,1777,0.40,150
15,1,1499,0.40,150
30,1,1616,0.40,150
1,1,1784,0.40,200
15,1,1538,0.40,200
30,1,1651,0.40,200
1,1,1782,0.60,50
15,1,1472,0.60,50
30,1,1648,0.60,50
1,1,1761,0.60,100
15,1,1496,0.60,100
30,1,1668,0.60,100
1,1,1777,0.60,150
15,1,1530,0.60,150
30,1,1650,0.60,150
1,1,1757,0.60,200
15,1,1549,0.60,200
30,1,1663,0.60,200
1,1,1776,0.80,50
15,1,1470,0.80,50
30,1,1653,0.80,50
1,1,1737,0.80,100
15,1,1536,0.80,100
30,1,1657,0.80,100
1,1,1762,0.80,150
15,1,1518,0.80,150
30,1,1636,0.80,150
1,1,1753,0.80,200
15,1,1511,0.80,200
30,1,1660,0.80,200
1,2,1728,0.20,50
15,2,1459,0.20,50
30,2,1614,0.20,50
1,2,1730,0.20,100
15,2,1484,0.20,100
30,2,1611,0.20,100
1,2,1750,0.20,150
15,2,1469,0.20,150
30,2,1605,0.20,150
1,2,1725,0.20,200
15,2,1455,0.20,200
30,2,1600,0.20,200
1,2,1741,0.40,50
15,2,1467,0.40,50
30,2,1604,0.40,50
1,2,1694,0.40,100
15,2,1500,0.40,100
30,2,1678,0.40,100
1,2,1771,0.40,150
15,2,1506,0.40,150
30,2,1607,0.40,150
1,2,1806,0.40,200
15,2,1533,0.40,200
30,2,1660,0.40,200
1,2,1742,0.60,50
15,2,1500,0.60,50
30,2,1606,0.60,50
1,2,1753,0.60,100
15,2,1515,0.60,100
30,2,1638,0.60,100
1,2,1783,0.60,150
15,2,1529,0.60,150
30,2,1663,0.60,150
1,2,1786,0.60,200
15,2,1516,0.60,200
30,2,1674,0.60,200
1,2,1771,0.80,50
15,2,1524,0.80,50
30,2,1674,0.80,50
1,2,1798,0.80,100
15,2,1506,0.80,100
30,2,1661,0.80,100
1,2,1803,0.80,150
15,2,1537,0.80,150
30,2,1684,0.80,150
1,2,1804,0.80,200
15,2,1512,0.80,200
30,2,1691,0.80,200
1,3,1728,0.20,50
15,3,1441,0.20,50
30,3,1591,0.20,50
1,3,1714,0.20,100
15,3,1460,0.20,100
30,3,1622,0.20,100
1,3,1742,0.20,150
15,3,1452,0.20,150
30,3,1652,0.20,150
1,3,1735,0.20,200
15,3,1512,0.20,200
30,3,1671,0.20,200
1,3,1793,0.40,50
15,3,1515,0.40,50
30,3,1659,0.40,50
1,3,1730,0.40,100
15,3,1453,0.40,100
30,3,1623,0.40,100
1,3,1756,0.40,150
15,3,1489,0.40,150
30,3,1669,0.40,150
1,3,1762,0.40,200
15,3,1511,0.40,200
30,3,1605,0.40,200
1,3,1771,0.60,50
15,3,1494,0.60,50
30,3,1638,0.60,50
1,3,1742,0.60,100
15,3,1476,0.60,100
30,3,1674,0.60,100
1,3,1781,0.60,150
15,3,1492,0.60,150
30,3,1673,0.60,150
1,3,1802,0.60,200
15,3,1548,0.60,200
30,3,1619,0.60,200
1,3,1766,0.80,50
15,3,1490,0.80,50
30,3,1631,0.80,50
1,3,1792,0.80,100
15,3,1495,0.80,100
30,3,1677,0.80,100
1,3,1788,0.80,150
15,3,1468,0.80,150
30,3,1658,0.80,150
1,3,1773,0.80,200
15,3,1540,0.80,200
30,3,1660,0.80,200
1,4,1729,0.20,50
15,4,1451,0.20,50
30,4,1608,0.20,50
1,4,1728,0.20,100
15,4,1448,0.20,100
30,4,1642,0.20,100
1,4,1708,0.20,150
15,4,1423,0.20,150
30,4,1599,0.20,150
1,4,1679,0.20,200
15,4,1443,0.20,200
30,4,1661,0.20,200
1,4,1688,0.40,50
15,4,1485,0.40,50
30,4,1619,0.40,50
1,4,1697,0.40,100
15,4,1467,0.40,100
30,4,1650,0.40,100
1,4,1753,0.40,150
15,4,1481,0.40,150
30,4,1644,0.40,150
1,4,1795,0.40,200
15,4,1479,0.40,200
30,4,1637,0.40,200
1,4,1748,0.60,50
15,4,1478,0.60,50
30,4,1649,0.60,50
1,4,1793,0.60,100
15,4,1456,0.60,100
30,4,1661,0.60,100
1,4,1807,0.60,150
15,4,1488,0.60,150
30,4,1664,0.60,150
1,4,1770,0.60,200
15,4,1462,0.60,200
30,4,1632,0.60,200
1,4,1773,0.80,50
15,4,1514,0.80,50
30,4,1598,0.80,50
1,4,1753,0.80,100
15,4,1524,0.80,100
30,4,1659,0.80,100
1,4,1803,0.80,150
15,4,1504,0.80,150
30,4,1661,0.80,150
1,4,1803,0.80,200
15,4,1535,0.80,200
30,4,1667,0.80,200
1,5,1717,0.20,50
15,5,1450,0.20,50
30,5,1606,0.20,50
1,5,1703,0.20,100
15,5,1444,0.20,100
30,5,1607,0.20,100
1,5,1707,0.20,150
15,5,1483,0.20,150
30,5,1619,0.20,150
1,5,1705,0.20,200
15,5,1492,0.20,200
30,5,1654,0.20,200
1,5,1773,0.40,50
15,5,1476,0.40,50
30,5,1646,0.40,50
1,5,1757,0.40,100
15,5,1507,0.40,100
30,5,1661,0.40,100
1,5,1729,0.40,150
15,5,1482,0.40,150
30,5,1648,0.40,150
1,5,1791,0.40,200
15,5,1521,0.40,200
30,5,1665,0.40,200
1,5,1766,0.60,50
15,5,1474,0.60,50
30,5,1625,0.60,50
1,5,1795,0.60,100
15,5,1460,0.60,100
30,5,1664,0.60,100
1,5,1795,0.60,150
15,5,1496,0.60,150
30,5,1684,0.60,150
1,5,1788,0.60,200
15,5,1498,0.60,200
30,5,1651,0.60,200
1,5,1745,0.80,50
15,5,1502,0.80,50
30,5,1629,0.80,50
1,5,1806,0.80,100
15,5,1521,0.80,100
30,5,1599,0.80,100
1,5,1813,0.80,150
15,5,1538,0.80,150
30,5,1616,0.80,150
1,5,1805,0.80,200
15,5,1516,0.80,200
30,5,1682,0.80,200
