1,1,1708,79.259000
1,2,1749,98.828000
1,3,1717,36.853000
1,4,1704,79.153000
1,5,1693,108.047000
1,6,1741,41.598000
1,7,1687,103.286000
1,8,1731,119.509000
1,9,1729,109.133000
1,10,1733,11.258000
2,1,1405,107.746000
2,2,1452,105.290000
2,3,1428,60.217000
2,4,1435,22.174000
2,5,1402,99.164000
2,6,1433,95.316000
2,7,1445,12.401000
2,8,1440,114.501000
2,9,1416,4.938000
2,10,1430,50.477000
3,1,1299,28.425000
3,2,1334,14.634000
3,3,1320,115.268000
3,4,1315,31.837000
3,5,1314,102.706000
3,6,1338,10.944000
3,7,1335,37.438000
3,8,1316,10.969000
3,9,1312,24.193000
3,10,1307,117.362000
4,1,1455,30.807000
4,2,1459,0.000000
4,3,1483,37.315000
4,4,1466,71.573000
4,5,1463,66.578000
4,6,1451,62.140000
4,7,1477,98.473000
4,8,1463,50.942000
4,9,1451,92.640000
4,10,1459,47.387000
5,1,1397,83.058000
5,2,1368,9.121000
5,3,1385,75.574000
5,4,1381,23.059000
5,5,1376,34.268000
5,6,1380,85.206000
5,7,1400,70.332000
5,8,1394,25.562000
5,9,1373,54.301000
5,10,1399,90.980000
6,1,1542,90.684000
6,2,1538,31.845000
6,3,1533,49.790000
6,4,1528,52.366000
6,5,1510,52.763000
6,6,1553,84.735000
6,7,1539,24.160000
6,8,1535,67.155000
6,9,1553,14.336000
6,10,1524,93.402000
7,1,1418,64.027000
7,2,1405,49.099000
7,3,1416,69.792000
7,4,1416,82.931000
7,5,1392,111.615000
7,6,1413,67.989000
7,7,1398,18.974000
7,8,1412,21.625000
7,9,1398,56.474000
7,10,1404,115.151000
8,1,1490,56.192000
8,2,1526,74.410000
8,3,1481,4.320000
8,4,1527,42.574000
8,5,1542,54.529000
8,6,1538,78.867000
8,7,1526,19.954000
8,8,1535,76.401000
8,9,1508,46.353000
8,10,1530,100.277000
9,1,1787,98.294000
9,2,1782,2.684000
9,3,1789,89.804000
9,4,1748,10.099000
9,5,1774,66.129000
9,6,1722,12.843000
9,7,1801,78.586000
9,8,1754,113.320000
9,9,1740,34.555000
9,10,1785,8.984000
10,1,1425,46.731000
10,2,1427,58.981000
10,3,1447,100.746000
10,4,1419,19.492000
10,5,1422,4.273000
10,6,1429,38.830000
10,7,1433,100.611000
10,8,1446,37.969000
10,9,1431,92.569000
10,10,1437,45.483000
11,1,1700,91.129000
11,2,1679,78.532000
11,3,1679,82.633000
11,4,1682,1.124000
11,5,1680,25.602000
11,6,1634,48.275000
11,7,1690,99.932000
11,8,1712,50.630000
11,9,1665,21.762000
11,10,1700,94.382000
12,1,1590,100.248000
12,2,1586,36.989000
12,3,1581,8.604000
12,4,1609,25.245000
12,5,1584,16.158000
12,6,1584,113.943000
12,7,1588,90.171000
12,8,1588,62.842000
12,9,1614,37.546000
12,10,1596,85.007000
13,1,1558,109.185000
13,2,1551,56.286000
13,3,1539,119.791000
13,4,1537,11.135000
13,5,1522,70.077000
13,6,1541,65.377000
13,7,1522,62.233000
13,8,1524,4.327000
13,9,1522,34.836000
